emotion,intensity,gender,chr_mn,chr_std,cont_mn,cont_std,ton_mn,ton_std,mel02_mn,mel02_std,mel24_mn,mel24_std,mel46_mn,mel46_std,mel68_mn,mel68_std
1.0,1.0,1.0,0.7418778368288095,0.0331025528895018,17.240802797716686,5.452006592292547,-0.011167312113144479,0.025177654113553903,0.016554679086726122,0.012259682468037155,0.004946011133401837,0.00931046722864468,0.0011655692411341398,0.001056260922779734,0.0003037792223899046,0.0002945935400725496
1.0,1.0,1.0,0.7302802629643446,0.029398312903643,17.609235839005155,5.065307482029528,-0.011025554454623677,0.024741997240187927,0.019960353252288274,0.01630952130513076,0.005169461982222395,0.007957724157781738,0.0013484938173712858,0.001372130918814378,0.00019283492491055658,0.00014366351859282155
1.0,1.0,1.0,0.74454161926908,0.042132470487815765,17.37365136358677,5.1935969331173455,9.237433139743896e-05,0.013346008936310471,0.022767530357789553,0.01765523701887171,0.011050384008412515,0.018853418775918153,0.002738521016959095,0.004620290304829997,0.00019045947068685405,0.00014981600312349435
1.0,1.0,1.0,0.7360921972324368,0.02342651585473216,17.610399184627674,4.979025630766969,-0.007361461949274884,0.02375848511436233,0.02048409531133665,0.01659810531654086,0.010963931531241184,0.01881137630854758,0.002097330058062484,0.0027905191828131513,0.00021646961480529451,0.000274159142298676
2.0,1.0,1.0,0.7238214127250666,0.03554692822464019,17.14808520526235,5.23533616337356,-0.010340175765872846,0.03555973251588474,0.010416777677181665,0.008046335877373594,0.0016859746709678059,0.0027764423921552493,0.000404615225810651,0.00038355212503678106,0.00015856859844077468,0.00019157606373533238
2.0,1.0,1.0,0.7338537913828606,0.031982271019770595,17.352182309765567,5.089205466669068,0.0020583345691405244,0.024682046022132375,0.011444852278033216,0.009279834247092394,0.0018721637673109013,0.0023502003309300136,0.0004211339770530221,0.00027733197470691703,0.00014391069583667034,0.00014281114585366772
2.0,1.0,1.0,0.7132043417994703,0.0375862903651784,18.02525420748117,5.160951221237838,-0.007303732084325037,0.022006944087181592,0.014882479458984594,0.013819521616740667,0.007105432185658303,0.008130535497569726,0.0023928775991061573,0.0026449372796518893,0.00015681210827716993,0.00012751224444616232
2.0,1.0,1.0,0.7118685651637743,0.03592711435803995,18.010669065629024,5.2156117338351295,-0.008571042038709854,0.024543985173150474,0.018839700785718807,0.018746472529335347,0.008495604388200713,0.011653247838689056,0.0017415691516513218,0.0018670970965070587,0.00013924009610181905,0.00011893271815864715
2.0,2.0,1.0,0.7278989058689995,0.03672107071149484,17.581594305965943,5.323531780562641,0.0001461497878216636,0.029598325027490175,0.007303723429130242,0.007166708722556051,0.0009508685949722064,0.000994201531207662,0.00023437971041836595,0.00017865001013614727,6.64056464977177e-05,6.146129403579086e-05
2.0,2.0,1.0,0.7193612779125504,0.025938899915987218,17.59762162321395,5.297215581151434,-0.004499791589149362,0.018776957104310876,0.008822570723455528,0.009034130013501894,0.0009266521691853752,0.0009118732157148136,0.00027695091157365026,0.00013363924080957593,4.784499343963955e-05,3.0349520325688067e-05
2.0,2.0,1.0,0.6839743133752144,0.050228525170869204,18.313148924582386,5.029014749212604,-0.011324653869469757,0.03902650335839444,0.00933395190539516,0.011971611765961957,0.002298647045954677,0.003677455262368102,0.0005108230244634604,0.0003896238277956941,3.61554907698579e-05,2.669469724303875e-05
2.0,2.0,1.0,0.7038674314836397,0.03972048533983677,17.89647396167118,5.126373311972429,-0.011145770855873092,0.029837004769321097,0.010344362001533582,0.011838859715264185,0.004325970242786769,0.008477164028345256,0.0011864767083178257,0.0024208208100660656,6.700148895359422e-05,5.597970584214217e-05
3.0,1.0,1.0,0.7363730062489834,0.03304322602239498,18.189616978441546,5.0709957859308465,-0.0034191820145345396,0.01453171834882272,0.05542159687790428,0.041965817371592856,0.01626016455118342,0.029649944443996903,0.0026007490705530502,0.0016541285608247785,0.0005084791136409271,0.00027035075729644987
3.0,1.0,1.0,0.7342164257239395,0.025852281081807066,18.223109088621886,4.896661928119689,0.00353937090175852,0.01608356965102457,0.06459506723793232,0.048974247246779366,0.027338609548162706,0.040517667906092326,0.005843127391786184,0.005098081560694409,0.0012769082705758304,0.0010879349211501395
3.0,1.0,1.0,0.711364569508884,0.033773321750126255,18.138059318347697,4.773543227831788,-0.006960676244706479,0.03218861041263193,0.04283581455997379,0.03472205886499859,0.014443469444293611,0.020889096990640243,0.0023807007655537137,0.0033065265929007447,0.0003635031591337971,0.00030476007135868784
3.0,1.0,1.0,0.6962077926239885,0.04127875634705178,18.507715541707206,5.029152576053082,-0.00955611725541218,0.034591767641406986,0.035336977443598656,0.030729421736822634,0.012253073960669856,0.015910518952055103,0.001854490873474303,0.0014235093103811267,0.0003766654775917944,0.0002738102561000771
3.0,2.0,1.0,0.691599093037696,0.03360522297968599,18.46982540833098,4.687563927139072,-0.004043876594379847,0.026208618820422577,0.08523375915472794,0.08055623388364651,0.06625060467887788,0.0707198317709599,0.02087812518699434,0.030772356234851844,0.0014529887103115553,0.0008656837739966248
3.0,2.0,1.0,0.677076853299608,0.04451479131454217,18.771883699673623,4.666980061662406,0.0060573926553442485,0.01767994502109537,0.11997396617021598,0.11079369049065788,0.1099079939995056,0.14218173149502383,0.05947265925555019,0.1217659277600501,0.0051700070946668515,0.006344445985089929
3.0,2.0,1.0,0.6795288074508302,0.0364523068361619,19.478055633443095,4.7045369910996735,-0.004254592760483727,0.017878413047176762,0.27140607582139903,0.32300300976079843,0.11646616064280968,0.1409444599725295,0.028034269382349923,0.015741837209131686,0.006755160479140415,0.005164302160286227
3.0,2.0,1.0,0.6862755807496024,0.026868061562802466,19.32844068802549,4.905923144302173,-0.003928573076701607,0.010827200283198422,0.18669297461035567,0.16983479207133922,0.13846106086185067,0.14589365920433525,0.03386805648606826,0.022200898766963312,0.004335076577813654,0.0032285680989825407
4.0,1.0,1.0,0.7142930429738179,0.057552622484374344,17.18445135908467,5.261086229328056,0.0012076712287295555,0.010630772831218143,0.01664717936811162,0.01605317570918293,0.002312274259734972,0.0035285944597731648,0.000570769808284749,0.000340643404945902,0.0001915615515882963,0.000171480714270201
4.0,1.0,1.0,0.7079266462838394,0.04351040013400244,17.642369055087702,4.9808997031995625,0.004746188049807529,0.00899386512456751,0.013376329553848505,0.011595718694384447,0.002445631127695109,0.003480104224968315,0.001575040457807627,0.0034655695692669543,0.0001307799452447454,0.00010203078091136552
4.0,1.0,1.0,0.7412875815356488,0.04280442794194126,16.449702649192194,5.121029010704159,-0.00517234880982122,0.008472304425121114,0.00912770417207833,0.007208441128774901,0.003158063442288974,0.005557018736509724,0.0007770658291334156,0.0007564916351162898,7.103565505103078e-05,5.788882968821855e-05
